Player,Position,Probability,Detailed position,Number,Birth date,Age,Caps,Weight (KG),Height (cm),Birth place,National team,Continent / Region,Team,Country of current team,Continent of current team / Region,Won the World Cup?,How many times played the World Cup? (including this one),Has ever won Champions League?,Previous teams?
Carlos Martinez,Defender,0.0006830065683,,,30/03/1999,23,5,,,,Costa Rica,Central America,San Carlos,Costa Rica,Central America,0,,,
Ronaldo Matarrita,Defender,0.0007174924263,,,09/07/1994,28,52,,,,Costa Rica,Central America,FC Cincinnati,USA,North America,0,,,
Bryan Oviedo,Defender,0.001990241323,,36,19/02/1990,32,74,,,Costa Rica,Costa Rica,Central America,Real Salt Lake,USA,North America,0,,,
Juan Pablo Vargas,Defender,0.003424870057,,5,06/06/1995,27,11,,192,Costa Rica,Costa Rica,Central America,Millonarios,Colombia,South America,0,,,
Kendall Waston,Defender,0.00626183712,,4,01/01/1988,34,61,,196,Costa Rica,Costa Rica,Central America,Saprissa,Costa Rica,Central America,0,,,
Brandon Aguilera,Midfielder,0.0006173516249,,28,28/06/2003,19,4,,182,Costa Rica,Costa Rica,Central America,Nott'm Forest,England,Europe,0,,,
Jewison Bennette,Midfielder,0.005275868949,,19,15/06/2004,18,7,,175,Costa Rica,Costa Rica,Central America,Sunderland,England,Europe,0,,,
Celso Borges,Midfielder,0.003830985026,,,27/05/1988,34,154,,187,Costa Rica,Costa Rica,Central America,Alajuelense,Costa Rica,Central America,0,,,
Anthony Hernandez,Midfielder,0.002367260046,,11,11/10/2001,21,2,,179,Costa Rica,Costa Rica,Central America,Puntarenas,Costa Rica,Central America,0,,,
Douglas Lopez,Midfielder,0.004010765608,,,21/09/1998,24,2,,180,Costa Rica,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Bryan Ruiz,Midfielder,0.00230076993,,10,18/08/1985,37,144,,187,Costa Rica,Costa Rica,Central America,Alajuelense,Costa Rica,Central America,0,,,
Youstin Salas,Midfielder,0.006303979558,,22,17/06/1996,26,3,,173,Costa Rica,Costa Rica,Central America,Saprissa,Costa Rica,Central America,0,,,
Yeltsin Tejeda,Midfielder,0.006028951055,,10,17/03/1992,30,73,,179,Costa Rica,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Gerson Torres,Midfielder,0.001617931688,,,28/08/1997,25,12,,180,Costa Rica,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Roan Wilson,Midfielder,0.002506889948,,,01/05/2002,20,2,,180,Costa Rica,Costa Rica,Central America,Grecia,Costa Rica,Central America,0,,,
Alvaro Zamora,Midfielder,0.001146390183,,,09/03/2002,20,2,,183,Costa Rica,Costa Rica,Central America,Saprissa,Costa Rica,Central America,0,,,
Joel Campbell,Forward,0.001013516769,,,26/06/1992,30,118,,178,Costa Rica,Costa Rica,Central America,Club Leon,Mexico,North America,0,,,
Anthony Contreras,Forward,0.006094839679,,,29/01/2000,22,8,,180,,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Johan Venegas,Forward,0.003903325963,,,27/11/1988,33,81,,182,,Costa Rica,Central America,Alajuelense,Costa Rica,Central America,0,,,
Luis Fernando Suárez,Coach,0.002101439697,,,23/12/1959,62,,,176,Colombia,Costa Rica,Central America,,,,0,3,,
Alphonse Areola,Goalkeeper,0.001266710824,,,27/02/1993,29,5,,,France,France,Europe,West Ham,England,Europe,,,,
Hugo Lloris,Goalkeeper,0.004571733493,,,26/12/1986,35,139,,,France,France,Europe,Tottenham,England,Europe,,,,
Steve Mandanda,Goalkeeper,0.003906367744,,,28/03/1985,37,34,,,Zaire,France,Europe,Rennes,France,Europe,,,,
Lucas Hernandez,Defender,0.003806739506,,,14/02/1996,26,32,,,France,France,Europe,Bayern Munich,France,Europe,,,,
Theo Hernandez,Defender,0.005735346174,,,06/10/1997,25,7,,,France,France,Europe,AC Milan,Italy,Europe,,,,
Presnel Kimpembe,Defender,0.002215009821,,,13/08/1995,28,28,,,France,France,Europe,PSG,France,Europe,,,,
Ibrahima Konate,Defender,0.00323079916,,,25/05/1999,23,2,,,France,France,Europe,Liverpool,England,Europe,,,,
Jules Kounde,Defender,0.003036279498,,,12/11/1998,23,12,,,France,France,Europe,Barcelona,Spain,Europe,,,,
Benjamin Pavard,Defender,0.0001892923463,,,23/03/1996,26,46,,,France,France,Europe,Bayern Munich,Germany,Europe,,,,
William Saliba,Defender,0.00454968585,,,24/03/2001,21,7,,,France,France,Europe,Arsenal,England,Europe,,,,
Dayot Upamecano,Defender,0.001676053903,,,27/10/1998,23,7,,,France,France,Europe,Bayern Munich,Germany,Europe,,,,
Raphael Varane,Defender,0.004323703837,,,25/04/19993,29,87,,,France,France,Europe,Manchester United,England,Europe,,,,
Eduardo Camavinga,Midfielder,0.0007315867639,,,10/11/2002,19,4,,,Cabinda,France,Europe,Real Madrid,Spain,Europe,,,,
Youssouf Fofana,Midfielder,0.003527177086,,,10/01/1999,23,2,,,France,France,Europe,AS Monaco,France,Europe,,,,
Matteo Guendouzi,Midfielder,0.002435538107,,,14/04/1999,23,6,,,France,France,Europe,Marseille,France,Europe,,,,
Adrien Rabiot,Midfielder,0.004484723343,,,03/04/1995,27,29,,,France,France,Europe,Juventus,Italy,Europe,,,,
Aurelien Tchouameni,Midfielder,0.0009496184046,,,27/01/2000,22,14,,,France,France,Europe,Real Madrid,Spain,Europe,,,,
Jordan Veretout,Midfielder,0.002129927869,,,01/03/1993,29,5,,,France,France,Europe,Marseille,France,Europe,,,,
Karim Benzema,Forward,5.48E-05,,,19/12/1987,34,97,,,France,France,Europe,Real Madrid,France,Europe,,,,
Ousmane Dembele,Forward,0.0003584714684,,,15/05/1997,25,28,,,France,France,Europe,Barcelona,France,Europe,,,,
Kingsley Coman,Forward,0.0001861910709,,,13/06/1996,26,40,,,France,France,Europe,Bayern Munich,Germany,Europe,,,,
Olivier Giroud,Forward,0.004548162016,,,30/09/1986,36,114,,,France,France,Europe,AC Milan,Italy,Europe,,,,
Antoine Griezmann,Forward,0.001375717347,,,21/03/1991,31,110,,,France,France,Europe,Atletico Madrid,Spain,Europe,,,,
Kylian Mbappe,Forward,0.002812184254,,,20/12/1998,23,59,,,France,France,Europe,PSG,France,Europe,,,,
Christopher Nkunku,Forward,0.002344457388,,,14/11/1997,24,8,,,France,France,Europe,RB Leipzig,Germany,Europe,,,,
Didier Deschamps,Coach,0.0007435478879,,,15/10/1968,54,,,174,France,France,Europe,,,,2,,,
Maty Ryan,Goalkeeper,0.001823319676,,,08/04/1992,30,75,,,Australia,Australia,Oceania,FC Copenhagen,Denmark,Europe,,,,
Andrew Redmayne,Goalkeeper,0.001366978284,,,13/01/1989,33,3,,,Australia,Australia,Oceania,Sydney FC,Australia,Oceania,,,,
Danny Vukovic,Goalkeeper,0.001935138278,,,27/03/1985,37,4,,,Australia,Australia,Oceania,Central Coast Mariners,Australia,Oceania,,,,
Milos Degenek,Defender,0.004982939814,,,28/04/1994,28,38,,,Croatia,Australia,Oceania,Columbus Crew,USA,North America,,,,
Aziz Behich,Defender,0.004472893197,,,16/10/1990,31,53,,,Australia,Australia,Oceania,Dundee United,Scotland,Europe,,,,
Joel King,Defender,0.0008977476621,,,30/10/2000,21,3,,,Australia,Australia,Oceania,OB,Denmark,Europe,,,,
Nathaniel Atkinson,Defender,0.003679391063,,,13/06/1999,23,5,,,Australia,Australia,Oceania,Hearts,Scotland,Europe,,,,
Fran Karacic,Defender,0.001712893938,,,12/05/1996,26,10,,,Croatia,Australia,Oceania,Brescia,Italy,Europe,,,,
Harry Souttar,Defender,0.003238377628,,,22/10/1998,23,10,,,Scotland,Australia,Oceania,Stoke City,England,Europe,,,,
Kye Rowles,Defender,0.00622876153,,,24/06/1998,24,3,,,Australia,Australia,Oceania,Hearts,Scotland,Europe,,,,
Bailey Wright,Defender,0.005622457275,,,28/07/1992,30,27,,,Australia,Australia,Oceania,Sunderland,England,Europe,,,,
Thomas Deng,Defender,0.00305749737,,,20/03/1997,25,2,,,Kenya,Australia,Oceania,Albirex Niigata,Japan,Europe,,,,
Aaron Mooy,Midfielder,0.0003954010182,,,15/09/1990,32,53,,,Australia,Australia,Oceania,Celtic,Scotland,Europe,,,,
Jackson Irvine,Midfielder,0.002333694765,,,07/03/1993,29,49,,,Australia,Australia,Oceania,St Pauli,Germany,Europe,,,,
Ajdin Hrustic,Midfielder,0.002250231802,,,06/07/1996,26,20,,,Australia,Australia,Oceania,Hellas Verona,Italy,Europe,,,,
Keanu Baccus,Midfielder,0.005916592056,,,07/06/1998,29,53,,178,South Africa,Australia,Oceania,St Mirren,Scotland,Europe,,,,
Cameron Devlin,Midfielder,0.00520461372,,,07/06/1998,24,1,,170,Australia,Australia,Oceania,Hearts,Scotland,Europe,,,,
Riley McGree,Midfielder,0.0006355149622,,,02/11/1998,23,10,,,Australia,Australia,Oceania,Middlesbrough,England,Europe,,,,
Awer Mabil,Forward,0.003131299394,,,15/09/1995,27,29,,,Kenya,Australia,Oceania,Cadiz,Spain,Europe,,,,
Mathew Leckie,Forward,0.002033018589,,,04/02/1991,31,72,,,Australia,Australia,Oceania,Melbourne City,Australia,Oceania,,,,
Martin Boyle,Forward,0.0006336367353,,,25/04/1993,29,19,,,Scotland,Australia,Oceania,Hibernian,Scotland,Europe,,,,
Jamie Maclaren,Forward,0.002106316325,,,29/07/1993,29,26,,,Australia,Australia,Oceania,Melbourne City,Australia,Oceania,,,,
Jason Cummings,Forward,0.001964728993,,,01/08/1995,27,1,,,Scotland,Australia,Oceania,Central Coast Mariners,Australia,Oceania,,,,
Mitchell Duke,Forward,0.003824757133,,,18/01/1991,31,20,,,Australia,Australia,Oceania,Fagiano Okayama,Japan,Asia,,,,
Garang Kuol,Forward,0.005977290888,,,15/09/2004,18,1,,,Egypt,Australia,Oceania,Central Coast Mariners,Australia,Oceania,,,,
Craig Goodwin,Forward,0.005790081136,,,16/12/1991,30,10,,180,Australia,Australia,Oceania,Adelaide United,Australia,Oceania,,,,
Graham Arnold,Coach,0.001555315382,,,03/08/1963,59,,,179,Australia,Australia,Oceania,,,,,,,
Manuel Neuer,Goalkeeper,0.0005818388954,,1,27/03/1986,36,113,,,,Germany,Europe,Bayern Munich,Germany,Europe,1,,,
Marc-Andre ter Stegen,Goalkeeper,0.0009759496268,,,30/04/1992,30,30,,,,Germany,Europe,Barcelona,Spain,Europe,,,,
Kevin Trapp,Goalkeeper,0.001110723485,,,08/07/1990,32,6,,,,Germany,Europe,Eintracht Frankfurt,Germany,Europe,,,,
Armel Bella-Kotchap,Defender,0.005495479625,,,11/11/2001,20,1,,,,Germany,Europe,Southampton,England,Europe,,,,
Mattias Ginter,Defender,0.004103952488,,,19/01/1994,28,46,,,,Germany,Europe,SC Freiburg,Germany,Europe,,,,
Christian Gunter,Defender,0.003596246272,,,28/02/1993,29,6,,,,Germany,Europe,Freiburg,Germany,Europe,,,,
Thilo Kehrer,Defender,0.0009284794466,,,21/09/1996,26,22,,,,Germany,Europe,West Ham,England,Europe,,,,
Lukas Klostermann,Defender,0.002226089261,,,03/06/1996,26,18,,,,Germany,Europe,RB Leipzig,Germany,Europe,,,,
David Raum,Defender,0.004557186883,,,22/04/1998,24,11,,,,Germany,Europe,RB Leipzig,Germany,Europe,,,,
Antonio Rudiger,Defender,0.00479772306,,,22/04/1998,29,54,,,,Germany,Europe,Real Madrid,Spain,Europe,,,,
Nico Schlotterbeck,Defender,0.002660098741,,,01/11/1999,22,5,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Niklas Sule,Defender,0.004922185784,,,03/09/1995,27,42,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Julian Brandt,Midfielder,4.35E-04,,,02/05/1996,26,38,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Leon Goretzka,Midfielder,0.003754718834,,,06/02/1995,44,14,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Ilkay Gundogan,Midfielder,0.001643029563,,,24/10/1990,31,62,,,,Germany,Europe,Manchester City,England,Europe,,,,
Mario Gotze,Midfielder,0.001519332968,,,03/06/1992,30,63,,,,Germany,Europe,Eintracht Frankfurt,Germany,Europe,1,,,
Jonas Hofmann,Midfielder,0.005914209893,,,14/07/1992,30,16,,,,Germany,Europe,B. Monchengladbach,Germany,Europe,,,,
Joshua Kimmich,Midfielder,0.0003556292646,,,08/02/1995,27,70,,,,Germany,Europe,Bayern Munich,Germany,Europe,1,,,
Jamal Musiala,Midfielder,0.001320230774,,,26/02/2003,19,17,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Youssoufa Moukoko,Forward,0.0001012601966,,,20/11/2004,17,0,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Karim Adeyemi,Forward,0.006023062897,,,18/01/2002,20,4,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Niclas Fullkrug,Forward,0.005149103834,,,09/02/1993,29,0,,,,Germany,Europe,Werder Bremen,Germany,Europe,,,,
Serge Gnabry,Forward,0.005963587457,,,14/07/1995,27,36,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Kai Havertz,Forward,0.006274506554,,,11/06/1999,23,30,,,,Germany,Europe,Chelsea,England,Europe,,,,
Thomas Muller,Forward,0.004962293561,,,13/09/1989,33,118,,,,Germany,Europe,Bayern Munich,Germany,Europe,1,,,
Leroy Sane,Forward,0.002875420184,,,11/01/1996,26,47,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Hansi Flick,Coach,0.004283567332,,,24/02/1965,57,,,177,Germany,Germany,Europe,,,,1,,,
Wojciech Szczesny,Goalkeeper,0.001190411532,,,18/04/1990,32,66,,,,Poland,Europe,Juventus,Italy,Europe,,,,
Bartlomiej Dragowski,Goalkeeper,0.001726556099,,,19/08/1997,25,2,,,,Poland,Europe,Spezia,Italy,Europe,,,,
Lukasz Skorupski,Goalkeeper,0.002358219805,,,05/05/1991,31,7,,,,Poland,Europe,Bologna,Italy,Europe,,,,
Jan Bednarek,Defender,0.003492611498,,,12/04/1996,26,44,,,,Poland,Europe,Aston Villa,England,Europe,,,,
Kamil Glik,Defender,0.005418081298,,,08/07/1988,34,98,,,,Poland,Europe,Benevento,Italy,Europe,,,,
Matty Cash,Defender,0.000377230068,,,07/08/1997,25,7,,,,Poland,Europe,Aston Villa,England,Europe,,,,
Jakub Kiwior,Defender,0.001181558623,,,15/02/2000,22,2,,,,Poland,Europe,Spezia,Italy,Europe,,,,
Robert Gumny,Defender,0.002190541481,,,04/06/1998,24,4,,,,Poland,Europe,FC Augsburg,Germany,Europe,,,,
Bartosz Bereszynski,Defender,0.003564127565,,,12/07/1992,30,45,,,,Poland,Europe,Sampdoria,Italy,Europe,,,,
Mateusz Wieteska,Defender,0.005896502569,,,11/02/1997,25,1,,,,Poland,Europe,Clermont,France,Europe,,,,
Nicola Zalewski,Defender,0.004871005288,,,23/01/2002,20,7,,,,Poland,Europe,Roma,Italy,Europe,,,,
Artur Jedrzejczyk,Defender,0.001190832397,,,04/11/1987,34,40,,,,Poland,Europe,Legia Warsaw,Poland,Europe,,,,
Michal Skoras,Midfielder,0.005024263553,,,15/02/2000,22,1,,,,Poland,Europe,Lech Poznan,Poland,Europe,,,,
Grzegorz Krychowiak,Midfielder,0.005288671044,,,29/01/1990,32,93,,,,Poland,Europe,Al Shabab,Saudi Arabia,Middle East,,,,
Piotr Zielinski,Midfielder,0.00110375049,,,20/05/1994,28,74,,,,Poland,Europe,Napoli,Italy,Europe,,,,
Krystian Bielik,Midfielder,0.004027129349,,,04/01/1998,24,5,,,,Poland,Europe,Birmingham,England,Europe,,,,
Kamil Grosicki,Midfielder,0.0004294829065,,,08/06/1988,34,86,,,,Poland,Europe,Pogon Szczecin,Poland,Europe,,,,
Przemyslaw Frankowski,Midfielder,0.001375121405,,,12/04/1995,27,25,,,,Poland,Europe,Lens,France,Europe,,,,
Sebastian Szymanski,Midfielder,0.003334651469,,,10/05/1999,23,17,,,,Poland,Europe,Feyenoord,Netherlands,Europe,,,,
Damian Szymanski,Midfielder,0.004236680529,,,16/06/1995,27,8,,,,Poland,Europe,AEK Athens,Greece,Europe,,,,
Szymon Zurkowski,Midfielder,0.003860740931,,,25/09/1997,25,6,,,,Poland,Europe,Fiorentina,Italy,Europe,,,,
